Codigo,cluster
504205478,5
573606125,3
580904349,3
6807900705,10
504003261,20
6809200708,19
519705593,3
6840600724,3
5451800372,5
6829600719,18
588702284,3
1381000027,3
2366000232,5
535302381,10
585602382,20
1777700054,14
4411000280,10
565605092,3
1717400685,5
2003200315,3
7686301656,20
1354900095,3
562805107,20
6846400727,10
4725800059,3
503801538,22
530806104,3
566002277,3
586101452,3
6657200816,14
6850000728,17
7624804722,3
4403500718,13
2318200520,3
6844400726,19
569004837,10
536004339,5
540002420,20
7656304082,3
6817600712,18
1347300231,20
549004811,3
8100100077,5
507904077,3
557605929,20
564903983,3
1704200608,3
6319000522,3
6327200491,14
6330200430,14
512902146,5
2548600037,3
6645600288,14
1559900712,14
6631800799,14
7624602104,10
4485500391,22
531005015,20
566404481,3
521202308,3
6617000278,5
4409800335,17
4179700482,19
4409000227,3
7612202210,3
7082001083,20
1900100023,5
2078700289,10
4107800352,10
563102206,3
6369000502,17
5059000885,10
4137800382,17
8179400206,5
4150300480,17
6841803331,19
4167600415,19
5031300789,16
1504700599,10
2367000663,3
6854900770,18
6867300774,18
6832200784,22
6832400751,18
1582000177,30
4151800475,18
1910000114,3
6816703334,17
6882000767,19
7302600113,19
7368600301,19
7355501031,20
5235600356,5
8501000190,3
5015000838,3
843600078,14
4754100085,10
8173600067,5
5031300522,5
5000100529,5
1765300646,3
875800147,5
1800100025,5
7600103954,5
7662201709,5
1744400866,14
1761400874,3
1761600520,10
4442000396,17
5237800240,20
1522300713,13
7340800729,21
7322601043,17
7300101047,5
7686904128,10
1969800016,5
500102144,6
1700100871,3
7640001655,3
5231700660,10
2051700518,3
2025000617,3
7600105115,5
7387000770,10
2574300381,14
7661601689,3
7689204073,5
7387300686,10
7367500705,19
7040001087,20
2077000094,10
5031800018,10
5057300003,3
7623303228,3
1344200163,3
7684503265,10
5028700541,10
7067800809,3
7077100200,3
7385400464,18
2547300303,3
7361601094,13
5000600169,3
4124400452,18
7327501053,17
7306700818,13
7314800104,19
7605401652,10
7346100891,19
8500100001,5
1545500726,3
1546900823,3
1575900798,5
7341100687,5
7021500380,5
2017800568,3
1532201084,5
7340800737,3
7352001095,17
5261201394,3
6347000468,3
2000100431,5
7682302201,20
5225000974,3
7610901750,20
5283500260,5
7303001018,10
7331900990,3
7334701099,17
7348301012,20
7611301701,3
5269300351,3
7367100704,10
1701300879,3
7344301021,3
2038300453,3
7350400703,3
7316800905,5
2006000532,3
561501376,5
7304301056,10
7334900926,3
7326800794,5
7323600925,17
7624301653,10
6321200503,17
7631802027,3
7321700924,14
2023800531,3
7354700941,18
7328301040,3
7362400815,3
7603601707,3
7356300391,10
7604104065,3
6354800003,19
7610002524,20
7386100730,20
7362201039,10
7625001649,3
7637701768,3
7377000423,18
7315201042,18
7367800911,17
7335200795,10
800101335,5
7000100066,5
7600103799,5
1900100031,5
854900461,17
2000100366,3
7614700672,3
5235601503,3
503605108,20
536804833,3
7358501092,3
1969800026,16
7600103959,5
7600103956,5
7600103957,5
7600102523,3
8544000422,5
6300100460,5
1575900490,3
4724500007,3
6821100715,3
852000074,13
1518500633,28
1527600741,33
7026500994,20
7041800138,20
7050800480,14
1582200742,26
883200149,14
1324400091,16
1566000703,32
6824500755,18
4188500319,17
4179900530,10
6846800791,18
1558000813,17
6857300783,18
1560000810,29
7052301085,10
1575500776,17
5268501378,19
6820900769,19
5201901434,10
5240501543,18
7070800117,3
5238501829,17
6868600762,18
6812100759,18
7071700270,14
1584200772,17
1563200812,28
6870500788,18
1583200481,26
884900119,17
863800155,16
6827600718,3
5225601409,17
1749500887,17
1787300832,3
1744600462,13
6817900766,18
1580400271,25
4755500266,3
4166800437,3
6877000742,3
2057000236,10
500102393,3
515402201,5
5268300609,3
1800157031,3
6607500752,17
5222700321,3
814100159,20
4716100250,10
6826600764,17
537605926,3
4484700401,5
857300145,3
528202171,3
868500110,10
4113200477,3
7630602525,3
536002121,3
7673604710,3
863800154,5
1744200161,10
4139600407,5
4155100479,5
1748600463,20
1766500595,19
7689504656,5
1786700720,10
1705000691,10
1700100873,5
6300100354,5
4161500518,22
2736100077,3
5449800547,5
2055000213,3
523705948,20
8675700021,10
536404768,3
2515400077,10
1330000551,10
565902159,3
589303227,20
2017500360,3
6807700704,3
6874500740,14
2040000670,3
2044300084,19
520604780,10
1307400031,3
5426100939,3
548004916,3
532104429,20
500106086,5
510102139,3
1738800511,13
549504915,14
588502112,20
6313000403,5
513405930,10
565805591,10
1364700291,3
1305200030,3
2022800382,3
2001100126,3
1314000157,20
1318800295,14
4720500061,10
842100144,3
4746000051,13
7649701650,20
2061400328,10
4767500060,10
7071300390,20
1367300489,10
1378000062,10
2700100026,5
5487400973,3
1360000305,3
2071000005,3
1304200268,20
4134900484,17
5440501008,3
7074200350,3
4754500046,10
4766000050,10
1300600159,20
1754100878,3
1365700119,3
1366700158,20
1367000076,22
1389400026,10
4770300103,18
1365000099,13
1346800078,3
1368300232,3
1383600136,3
7689001767,3
5267800613,3
4148300388,19
4705300246,3
1368800003,3
508805618,5
8657300185,22
2062100580,3
4180700402,10
4101300301,14
4177000420,3
531504586,10
6832003332,17
531802436,3
6868400738,13
7640301647,20
1324400493,5
4437800346,13
2524500057,3
2578500060,3
4484700332,3
4407800307,3
2029500567,10
566505514,3
531305109,10
566701512,3
502105098,19
505102323,20
7636403795,3
6340100123,3
8621900017,3
526402309,10
2512600353,3
2001100572,5
6875500799,5
5481001073,3
7070800331,3
2385500671,3
8686500010,3
6359400821,3
4427900373,3
509104572,10
511305596,10
514501585,19
2573600017,3
4130600423,3
6813200752,18
1743300523,10
6814700710,13
1727200820,13
6311100048,17
585806294,3
513804914,20
4101600376,3
4718900242,5
1738000519,5
503004374,3
554306299,20
1566700804,13
2318900473,3
504405014,20
565206016,10
1540700841,10
530604477,10
2300100482,5
548305928,20
7612601703,3
564204576,3
1787700827,10
2004500439,13
6866900735,10
6885500743,19
7660602126,20
1708800584,10
2720500085,20
2531700044,3
4135900424,14
1766200119,3
2778700097,20
2380700106,3
1524400844,10
9500100001,5
2031000521,18
520905819,3
569702427,3
536104505,3
544005273,3
1700100817,5
5203600988,10
5249001485,3
7320001030,19
1326800021,10
5222400914,17
5220700926,10
2528100212,19
5256500972,17
7067001086,3
5221500902,19
1980700017,13
5228701440,18
5278801372,20
5235200407,17
5239900886,16
5221001762,18
7082301084,20
5258500933,14
5250601433,17
7011000166,10
5243500903,19
5272001059,18
5242700696,10
5232301390,18
5288501383,3
5238101502,10
5283500905,5
5232000371,14
5257300562,10
5226001436,3
6830700720,5
